time,open,high,low,close,Volume
1756239300,42511.5,42514.5,42509.5,42511.5,NaN
1756239600,42511.5,42519.5,42511.5,42516.5,NaN
1756239900,42516.5,42526.5,42516.5,42526.5,NaN
1756240200,42526.5,42534.5,42526.5,42526.5,NaN
1756240500,42526.5,42526.5,42511.5,42516.5,NaN
1756240800,42516.5,42524.5,42516.5,42521.5,NaN
1756241100,42521.5,42534.5,42516.5,42534.5,NaN
1756241400,42534.5,42536.5,42529.5,42531.5,NaN
1756241700,42531.5,42544.5,42521.5,42534.5,NaN
1756245600,42534.5,42554.5,42496.5,42541.5,NaN
1756245900,42541.5,42541.5,42531.5,42536.5,NaN
1756246200,42536.5,42549.5,42536.5,42549.5,NaN
1756246500,42549.5,42551.5,42541.5,42546.5,NaN
1756246800,42546.5,42549.5,42544.5,42544.5,NaN
1756247100,42544.5,42544.5,42531.5,42531.5,NaN
1756247400,42531.5,42531.5,42531.5,42531.5,NaN
1756247700,42531.5,42541.5,42531.5,42541.5,NaN
1756248000,42541.5,42541.5,42539.5,42539.5,NaN
1756248300,42539.5,42539.5,42529.5,42529.5,NaN
1756248600,42529.5,42531.5,42521.5,42529.5,NaN
1756248900,42529.5,42529.5,42524.5,42529.5,NaN
1756249200,42529.5,42536.5,42516.5,42516.5,NaN
1756249500,42516.5,42521.5,42516.5,42516.5,NaN
1756249800,42516.5,42519.5,42509.5,42511.5,NaN
1756250100,42511.5,42511.5,42499.5,42501.5,NaN
1756250400,42501.5,42506.5,42491.5,42506.5,NaN
1756250700,42506.5,42516.5,42506.5,42511.5,NaN
1756251000,42511.5,42544.5,42509.5,42526.5,NaN
1756251300,42526.5,42544.5,42521.5,42541.5,NaN
1756251600,42541.5,42551.5,42531.5,42531.5,NaN
1756251900,42531.5,42531.5,42484.5,42496.5,NaN
1756252200,42496.5,42511.5,42461.5,42461.5,NaN
1756252500,42461.5,42486.5,42449.5,42476.5,NaN
1756252800,42476.5,42497,42307,42327,NaN
1756253100,42327,42392,42322,42342,NaN
1756253400,42342,42469,42337,42427,NaN
1756253700,42427,42452,42382,42407,NaN
1756254000,42407,42427,42364,42372,NaN
1756254300,42372,42392,42319,42324,NaN
1756254600,42324,42364,42314,42349,NaN
1756254900,42349,42359,42282,42302,NaN
1756255200,42302,42314,42269,42279,NaN
1756255500,42279,42319,42269,42307,NaN
1756255800,42307,42339,42299,42309,NaN
1756256100,42309,42369,42309,42364,NaN
1756256400,42364,42389,42339,42339,NaN
1756256700,42339,42384,42334,42364,NaN
1756257000,42364,42364,42329,42354,NaN
1756257300,42354,42374,42349,42362,NaN
1756257600,42362,42399,42354,42394,NaN
1756257900,42394,42397,42374,42379,NaN
1756258200,42379,42387,42354,42369,NaN
1756258500,42369,42394,42359,42382,NaN
1756258800,42382,42399,42379,42389,NaN
1756259100,42389,42432,42369,42432,NaN
1756259400,42432,42439,42402,42432,NaN
1756259700,42432,42432,42402,42424,NaN
1756260000,42424,42429,42404,42424,NaN
1756260300,42424,42429,42419,42429,NaN
1756260600,42429,42442,42422,42434,NaN
1756260900,42434,42484,42434,42479,NaN
1756261200,42479,42502,42469,42502,NaN
1756261500,42502,42559,42502,42537,NaN
1756261800,42537,42554,42534,42547,NaN
1756262100,42547,42567,42532,42532,NaN
1756262400,42532,42542,42524,42534,NaN
1756262700,42534,42542,42529,42537,NaN
1756263000,42537,42542,42532,42534,NaN
1756263300,42534,42539,42527,42527,NaN
1756263600,42527,42539,42517,42532,NaN
1756263900,42532,42537,42524,42529,NaN
1756264200,42529,42554,42527,42554,NaN
1756264500,42554,42557,42539,42542,NaN
1756264800,42542,42544,42529,42537,NaN
1756265100,42537,42549,42529,42544,NaN
1756265400,42544,42584,42532,42584,NaN
1756265700,42584,42622,42574,42619,NaN
1756266000,42619,42627,42574,42579,NaN
1756266300,42579,42579,42549,42549,NaN
1756266600,42549,42584,42549,42557,NaN
1756266900,42557,42574,42544,42572,NaN
1756267200,42572,42587,42569,42574,NaN
1756267500,42574,42574,42547,42559,NaN
1756267800,42559,42564,42537,42542,NaN
1756268100,42542,42557,42522,42549,NaN
1756268400,42549,42559,42522,42524,NaN
1756268700,42524,42527,42497,42497,NaN
1756269000,42497,42507,42484,42499,NaN
1756269300,42499,42512,42479,42507,NaN
1756269600,42507,42517,42494,42499,NaN
1756269900,42499,42517,42499,42514,NaN
1756270200,42514,42519,42499,42499,NaN
1756270500,42499,42522,42499,42507,NaN
1756270800,42507,42509,42477,42482,NaN
1756271100,42482,42489,42452,42454,NaN
1756271400,42454,42474,42452,42469,NaN
1756271700,42469,42472,42404,42434,NaN
1756272000,42434,42451,42429,42451,NaN
1756272300,42451,42471,42451,42471,NaN
1756272600,42471,42506,42469,42494,NaN
1756272900,42494,42506,42491,42491,NaN
1756273200,42491,42511,42486,42509,NaN
1756273500,42509,42509,42491,42491,NaN
1756273800,42491,42504,42481,42481,NaN
1756274100,42481,42486,42456,42466,NaN
1756274400,42466,42494,42466,42494,NaN
1756274700,42494,42526,42494,42516,NaN
1756275000,42516,42551,42511,42541,NaN
1756275300,42541,42566,42539,42564,NaN
1756275600,42564,42576,42541,42544,NaN
1756275900,42544,42566,42521,42521,NaN
1756276200,42521,42524,42466,42486,NaN
1756276500,42486,42486,42461,42471,NaN
1756276800,42471,42516,42464,42509,NaN
1756277100,42509,42534,42506,42529,NaN
1756277400,42529,42529,42511,42516,NaN
1756277700,42516,42526,42511,42514,NaN
1756278000,42514,42523.5,42513.5,42523.5,NaN
1756278300,42523.5,42528.5,42518.5,42526.5,NaN
1756278600,42526.5,42536.5,42518.5,42518.5,NaN
1756278900,42518.5,42518.5,42481.5,42486.5,NaN
1756279200,42486.5,42486.5,42438.5,42443.5,NaN
1756279500,42443.5,42448.5,42421.5,42428.5,NaN
1756279800,42428.5,42453.5,42428.5,42443.5,NaN
1756280100,42443.5,42451.5,42423.5,42428.5,NaN
1756280400,42428.5,42448.5,42421.5,42446.5,NaN
1756280700,42446.5,42468.5,42433.5,42456.5,NaN
1756281000,42456.5,42481.5,42456.5,42463.5,NaN
1756281300,42463.5,42493.5,42461.5,42478.5,NaN
1756281600,42478.5,42478.5,42441.5,42461.5,NaN
1756281900,42461.5,42476.5,42448.5,42458.5,NaN
1756282200,42458.5,42458.5,42431.5,42438.5,NaN
1756282500,42438.5,42448.5,42428.5,42448.5,NaN
1756282800,42448.5,42458.5,42433.5,42436.5,NaN
